iter	RMSE
0	3881.235946
1	3781.572159
2	3686.336915
3	3593.249411
4	3502.843588
5	3415.986993
6	3332.321471
7	3252.051302
8	3174.759755
9	3099.043169
10	3026.269113
11	2956.389957
12	2888.722646
13	2823.861008
14	2761.579113
15	2695.367676
16	2629.741226
17	2566.229809
18	2505.316825
19	2448.126417
20	2392.222432
21	2338.217605
22	2284.864076
23	2233.608143
24	2183.628581
25	2135.952103
26	2089.38968
27	2044.490213
28	2001.519662
29	1959.487093
30	1919.329312
31	1876.336328
32	1834.213324
33	1792.977759
34	1753.588369
35	1715.576571
36	1678.647552
37	1643.763422
38	1609.04455
39	1575.499514
40	1543.120793
41	1512.611978
42	1482.557139
43	1453.063988
44	1424.967227
45	1398.250065
46	1372.136967
47	1347.552678
48	1324.480109
49	1300.949365
50	1278.283738
51	1256.855462
52	1235.901051
53	1215.877871
54	1196.707363
55	1177.210154
56	1156.229484
57	1135.95584
58	1118.01096
59	1099.73577
60	1081.969255
61	1065.188768
62	1048.788603
63	1032.820415
64	1017.472065
65	1002.974636
66	989.0633111
67	975.7188358
68	962.5631046
69	950.0718875
70	938.3877551
71	926.5713307
72	915.605676
73	904.9897758
74	894.6213201
75	884.2377841
76	874.5255946
77	865.1955755
78	856.3281455
79	847.0552697
80	837.7480706
81	829.2968442
82	820.5001539
83	812.0795493
84	803.8334298
85	795.7607054
86	788.067338
87	779.9934182
88	773.0265694
89	766.7291665
90	760.7236803
91	754.4154971
92	748.192007
93	742.8944681
94	736.9957337
95	731.8490363
96	726.8620306
97	722.1793762
98	716.9758732
99	712.3651522
100	707.6468965
101	702.9628468
102	698.8772166
103	695.1287926
104	691.3848968
105	687.5261653
106	683.3788429
107	679.7517577
108	676.7755288
109	673.2829138
110	669.5984691
111	666.8120865
112	664.2471275
113	660.7678681
114	657.8253832
115	654.748432
116	652.1464588
117	649.0385939
118	646.7778901
119	644.3331516
120	641.6872989
121	639.2388815
122	637.2482569
123	635.0399173
124	632.8101083
125	630.5150279
126	628.4696623
127	626.4656954
128	624.5995224
129	622.6491888
130	620.8227857
131	618.9407094
132	616.8904877
133	615.1417568
134	613.7634273
135	612.0413188
136	610.5697887
137	609.1439648
138	607.7768477
139	606.5173962
140	604.7940204
141	603.4795677
142	602.1968386
143	601.160571
144	599.9294855
145	598.818876
146	597.6282697
147	596.4689759
148	595.5536132
149	594.6144653
150	593.6397041
151	592.2495365
152	591.3232074
153	590.6010612
154	589.764405
155	589.007175
156	588.2656394
157	587.5456033
158	586.6463881
159	585.7274731
160	585.0555592
161	584.2201421
162	583.4497121
163	582.592157
164	581.8015723
165	581.1081251
166	580.4595571
167	579.6334607
168	579.013406
169	578.4271073
170	577.5352525
171	576.9752334
172	576.3962594
173	575.929747
174	575.2630305
175	574.6372561
176	574.168499
177	573.624816
178	573.0338395
179	572.4526958
180	571.831818
181	570.9031874
182	570.4971659
183	570.1504641
184	569.4231068
185	568.7421675
186	568.2551855
187	567.681585
188	567.1942538
189	566.8539534
190	566.4905787
191	565.9103976
192	565.4162579
193	565.0338337
194	564.7321751
195	564.3865784
196	564.0540113
197	563.3727836
198	563.0169755
199	562.6640467
200	562.1097648
201	561.7944942
202	561.4605024
203	561.0842389
204	560.6988955
205	560.3986867
206	559.8832563
207	559.4023301
208	559.1132236
209	558.7536391
210	558.2075039
211	557.8743671
212	557.301713
213	556.84357
214	556.4216136
215	556.0371982
216	555.7204042
217	555.4501099
218	555.1187765
219	554.7381384
220	554.2264218
221	554.0768065
222	553.8118862
223	553.6035324
224	553.1687603
225	552.8286865
226	552.4856892
227	552.3708424
228	552.1278674
229	551.7860449
230	551.5171344
231	551.2238041
232	550.7241253
233	550.467384
234	550.1845658
235	549.9130371
236	549.6428626
237	549.5268183
238	549.3497325
239	549.2174936
240	548.8204218
241	548.5175203
242	548.1026271
243	547.7845853
244	547.4406549
245	547.2160414
246	547.0301215
247	546.8684925
248	546.5804541
249	546.4040832
250	545.9836476
251	545.564596
252	545.273772
253	545.0615619
254	544.8049888
255	544.6107864
256	544.3062101
257	544.160003
258	543.9876621
259	543.6715411
260	543.3876923
261	543.0071461
262	542.5535642
263	542.3683303
264	542.2049989
265	541.8464587
266	541.4946093
267	541.1689611
268	540.7727959
269	540.5502644
270	540.2543562
271	539.9429731
272	539.5749535
273	539.3950972
274	539.2334201
275	539.0886896
276	538.853417
277	538.5091557
278	538.1449624
279	538.0135934
280	537.828148
281	537.6385457
282	537.4545152
283	537.2891592
284	536.9231513
285	536.732014
286	536.5647539
287	536.2939156
288	536.1205992
289	535.8354029
290	535.5861687
291	535.3419584
292	535.1996812
293	535.0894732
294	534.9056273
295	534.745491
296	534.5585962
297	534.3401189
298	534.0866106
299	533.9262564
